idx,initial,learned_real,direction
0,1.2300666666666664,1.4208693012697187,lt
1,1.2786259541984732,1.8627061943850065,lt
2,1.7200172413793102,2.3471980151070824,lt
3,1.145,1.4606649797440467,lt
4,1.6107385892116182,2.1539766381161614,lt
5,0.0,0.0,gt
6,0.0,0.0,gt
7,0.0,0.0,gt
8,1.3722416988416988,2.073542131356832,lt
9,1.277716604244694,1.861314591301172,lt
10,0.0,0.0,gt
11,70.0,70.0000004997633,lt
