idx,initial,learned_real,direction
0,1.3650799999999998,2.0751588054071637,lt
1,1.3363578076525338,2.144493374160674,lt
2,1.815,2.4917935020478206,lt
3,1.5375,1.5619599424048831,lt
4,1.7576297709923665,2.4067644462610236,lt
5,0.0,0.0,gt
6,0.0,0.0,gt
7,0.0,0.0,gt
8,1.4401939237233354,2.309301648363257,lt
9,1.3370816532258065,2.1429963542154535,lt
10,0.0,0.0,gt
11,70.0,70.00000049975107,lt
