idx,initial,learned_real,direction
0,0.0,0.0,lt
1,1.3522137096774196,1.9307913100196699,lt
2,1.6594482758620688,2.0820908298443443,lt
3,0.0,0.0,lt
4,1.6041653543307088,2.09689259326608,lt
5,0.0,0.0,gt
6,0.0,0.0,gt
7,1.226,1.2259995002539066,gt
8,1.4489100642398287,2.04953737767455,lt
9,1.3522137096774196,1.9307913100196699,lt
10,1.226,1.2259995002539066,gt
11,71.15005555555555,73.48075892499776,lt
